3.41,10.108
3.42,10.002
3.43,9.8993
3.44,9.7989
3.45,9.7011
3.46,9.6059
3.47,9.5132
3.48,9.423
3.49,9.3352
3.5,9.25
3.51,9.1672
3.52,9.0869
3.53,9.009
3.54,8.9335
3.55,8.8604
3.56,8.7896
3.57,8.7211
3.58,8.655
3.59,8.5911
3.6,8.5294
3.61,8.47
3.62,8.4127
3.63,8.3575
3.64,8.3045
3.65,8.2535
3.66,8.2046
3.67,8.1577
3.68,8.1127
3.69,8.0697
3.7,8.0285
3.71,7.9892
3.72,7.9518
3.73,7.9161
3.74,7.8822
3.75,7.85
3.76,7.8195
3.77,7.7906
3.78,7.7633
3.79,7.7376
3.8,7.7134
3.81,7.6907
3.82,7.6695
3.83,7.6497
3.84,7.6313
3.85,7.6143
3.86,7.5986
3.87,7.5842
3.88,7.571
3.89,7.5591
3.9,7.5483
3.91,7.5388
3.92,7.5303
3.93,7.523
3.94,7.5167
3.95,7.5115
3.96,7.5073
3.97,7.5041
3.98,7.5018
3.99,7.5004
4,7.5
4.01,7.4998
4.02,7.4992
4.03,7.4983
4.04,7.4969
4.05,7.4951
4.06,7.4928
4.07,7.4901
4.08,7.487
4.09,7.4834
4.1,7.4793
4.11,7.4747
4.12,7.4696
4.13,7.4639
4.14,7.4577
4.15,7.451
4.16,7.4437
4.17,7.4358
4.18,7.4273
4.19,7.4183
4.2,7.4085
4.21,7.3982
4.22,7.3872
4.23,7.3755
4.24,7.3631
4.25,7.35
4.26,7.3362
4.27,7.3217
4.28,7.3064
4.29,7.2903
4.3,7.2735
4.31,7.2559
4.32,7.2374
4.33,7.2181
4.34,7.198
4.35,7.1771
4.36,7.1552
4.37,7.1325
4.38,7.1089
4.39,7.0843
4.4,7.0588
4.41,7.0324
4.42,7.005
4.43,6.9767
4.44,6.9473
4.45,6.917
4.46,6.8856
4.47,6.8533
4.48,6.8199
4.49,6.7855
4.5,6.75
4.51,6.7135
4.52,6.6759
4.53,6.6372
4.54,6.5975
4.55,6.5567
4.56,6.5147
4.57,6.4717
4.58,6.4277
4.59,6.3825
4.6,6.3362
4.61,6.2888
4.62,6.2404
4.63,6.1908
4.64,6.1402
4.65,6.0885
4.66,6.0358
4.67,5.9819
4.68,5.9271
4.69,5.8712
4.7,5.8142
4.71,5.7563
4.72,5.6973
4.73,5.6374
4.74,5.5765
4.75,5.5147
4.76,5.452
4.77,5.3883
4.78,5.3238
4.79,5.2585
4.8,5.1923
4.81,5.1253
4.82,5.0576
4.83,4.9892
4.84,4.92
4.85,4.8502
4.86,4.7798
4.87,4.7088
4.88,4.6372
4.89,4.5651
4.9,4.4926
4.91,4.4196
4.92,4.3462
4.93,4.2724
4.94,4.1984
4.95,4.1241
4.96,4.0495
4.97,3.9748
4.98,3.8999
4.99,3.825
5,3.75
5.01,3.675
5.02,3.6001
5.03,3.5252
5.04,3.4505
5.05,3.3759
5.06,3.3016
5.07,3.2276
5.08,3.1538
5.09,3.0804
5.1,3.0074
5.11,2.9349
5.12,2.8628
5.13,2.7912
5.14,2.7202
5.15,2.6498
5.16,2.58
5.17,2.5108
5.18,2.4424
5.19,2.3747
5.2,2.3077
5.21,2.2415
5.22,2.1762
5.23,2.1117
5.24,2.048
5.25,1.9853
5.26,1.9235
5.27,1.8626
5.28,1.8027
5.29,1.7437
5.3,1.6858
5.31,1.6288
5.32,1.5729
5.33,1.5181
5.34,1.4642
5.35,1.4115
5.36,1.3598
5.37,1.3092
5.38,1.2596
5.39,1.2112
5.4,1.1638
5.41,1.1175
5.42,1.0723
5.43,1.0283
5.44,0.98525
5.45,0.94335
5.46,0.90253
5.47,0.86279
5.48,0.82412
5.49,0.78653
5.5,0.75
5.51,0.71453
5.52,0.6801
5.53,0.64671
5.54,0.61435
5.55,0.58301
5.56,0.55268
